Ref_Date,Geography,Measure Type,Measure, Value 
2010/03,Alberta,Family Composition,Single Total,"36,010"
2010/03,Alberta,Family Composition,Single Parent Total,"2,021"
2010/03,Alberta,Family Composition,Childless Couples Total,"1,643"
2010/03,Alberta,Family Composition,Couples with Children Total,765
2010/03,Alberta,Family Composition,All Types Total,"40,439"
2010/04,Alberta,Family Composition,Single Total,"36,161"
2010/04,Alberta,Family Composition,Single Parent Total,"2,017"
2010/04,Alberta,Family Composition,Childless Couples Total,"1,666"
2010/04,Alberta,Family Composition,Couples with Children Total,769
2010/04,Alberta,Family Composition,All Types Total,"40,613"
2010/05,Alberta,Family Composition,Single Total,"36,282"
2010/05,Alberta,Family Composition,Single Parent Total,"2,033"
2010/05,Alberta,Family Composition,Childless Couples Total,"1,681"
2010/05,Alberta,Family Composition,Couples with Children Total,777
2010/05,Alberta,Family Composition,All Types Total,"40,773"
2010/06,Alberta,Family Composition,Single Total,"36,484"
2010/06,Alberta,Family Composition,Single Parent Total,"2,074"
2010/06,Alberta,Family Composition,Childless Couples Total,"1,677"
2010/06,Alberta,Family Composition,Couples with Children Total,795
2010/06,Alberta,Family Composition,All Types Total,"41,030"
2010/07,Alberta,Family Composition,Single Total,"36,618"
2010/07,Alberta,Family Composition,Single Parent Total,"2,084"
2010/07,Alberta,Family Composition,Childless Couples Total,"1,668"
2010/07,Alberta,Family Composition,Couples with Children Total,787
2010/07,Alberta,Family Composition,All Types Total,"41,157"
2010/08,Alberta,Family Composition,Single Total,"36,816"
2010/08,Alberta,Family Composition,Single Parent Total,"2,088"
2010/08,Alberta,Family Composition,Childless Couples Total,"1,677"
2010/08,Alberta,Family Composition,Couples with Children Total,796
2010/08,Alberta,Family Composition,All Types Total,"41,377"
2010/09,Alberta,Family Composition,Single Total,"36,931"
2010/09,Alberta,Family Composition,Single Parent Total,"2,115"
2010/09,Alberta,Family Composition,Childless Couples Total,"1,680"
2010/09,Alberta,Family Composition,Couples with Children Total,805
2010/09,Alberta,Family Composition,All Types Total,"41,531"
2010/10,Alberta,Family Composition,Single Total,"37,099"
2010/10,Alberta,Family Composition,Single Parent Total,"2,104"
2010/10,Alberta,Family Composition,Childless Couples Total,"1,680"
2010/10,Alberta,Family Composition,Couples with Children Total,822
2010/10,Alberta,Family Composition,All Types Total,"41,705"
2010/11,Alberta,Family Composition,Single Total,"37,235"
2010/11,Alberta,Family Composition,Single Parent Total,"2,129"
2010/11,Alberta,Family Composition,Childless Couples Total,"1,696"
2010/11,Alberta,Family Composition,Couples with Children Total,842
2010/11,Alberta,Family Composition,All Types Total,"41,902"
2010/12,Alberta,Family Composition,Single Total,"37,415"
2010/12,Alberta,Family Composition,Single Parent Total,"2,142"
2010/12,Alberta,Family Composition,Childless Couples Total,"1,690"
2010/12,Alberta,Family Composition,Couples with Children Total,851
2010/12,Alberta,Family Composition,All Types Total,"42,098"
2011/01,Alberta,Family Composition,Single Total,"37,672"
2011/01,Alberta,Family Composition,Single Parent Total,"2,161"
2011/01,Alberta,Family Composition,Childless Couples Total,"1,717"
2011/01,Alberta,Family Composition,Couples with Children Total,860
2011/01,Alberta,Family Composition,All Types Total,"42,410"
2011/02,Alberta,Family Composition,Single Total,"37,803"
2011/02,Alberta,Family Composition,Single Parent Total,"2,173"
2011/02,Alberta,Family Composition,Childless Couples Total,"1,726"
2011/02,Alberta,Family Composition,Couples with Children Total,850
2011/02,Alberta,Family Composition,All Types Total,"42,552"
2011/03,Alberta,Family Composition,Single Total,"38,017"
2011/03,Alberta,Family Composition,Single Parent Total,"2,200"
2011/03,Alberta,Family Composition,Childless Couples Total,"1,740"
2011/03,Alberta,Family Composition,Couples with Children Total,863
2011/03,Alberta,Family Composition,All Types Total,"42,820"
2011/04,Alberta,Family Composition,Single Total,"38,153"
2011/04,Alberta,Family Composition,Single Parent Total,"2,209"
2011/04,Alberta,Family Composition,Childless Couples Total,"1,732"
2011/04,Alberta,Family Composition,Couples with Children Total,863
2011/04,Alberta,Family Composition,All Types Total,"42,957"
2011/05,Alberta,Family Composition,Single Total,"38,290"
2011/05,Alberta,Family Composition,Single Parent Total,"2,228"
2011/05,Alberta,Family Composition,Childless Couples Total,"1,726"
2011/05,Alberta,Family Composition,Couples with Children Total,867
2011/05,Alberta,Family Composition,All Types Total,"43,111"
2011/06,Alberta,Family Composition,Single Total,"38,516"
2011/06,Alberta,Family Composition,Single Parent Total,"2,239"
2011/06,Alberta,Family Composition,Childless Couples Total,"1,733"
2011/06,Alberta,Family Composition,Couples with Children Total,880
2011/06,Alberta,Family Composition,All Types Total,"43,368"
2011/07,Alberta,Family Composition,Single Total,"38,588"
2011/07,Alberta,Family Composition,Single Parent Total,"2,224"
2011/07,Alberta,Family Composition,Childless Couples Total,"1,739"
2011/07,Alberta,Family Composition,Couples with Children Total,870
2011/07,Alberta,Family Composition,All Types Total,"43,421"
2011/08,Alberta,Family Composition,Single Total,"38,707"
2011/08,Alberta,Family Composition,Single Parent Total,"2,235"
2011/08,Alberta,Family Composition,Childless Couples Total,"1,761"
2011/08,Alberta,Family Composition,Couples with Children Total,868
2011/08,Alberta,Family Composition,All Types Total,"43,571"
2011/09,Alberta,Family Composition,Single Total,"38,848"
2011/09,Alberta,Family Composition,Single Parent Total,"2,249"
2011/09,Alberta,Family Composition,Childless Couples Total,"1,750"
2011/09,Alberta,Family Composition,Couples with Children Total,875
2011/09,Alberta,Family Composition,All Types Total,"43,722"
2011/10,Alberta,Family Composition,Single Total,"38,952"
2011/10,Alberta,Family Composition,Single Parent Total,"2,261"
2011/10,Alberta,Family Composition,Childless Couples Total,"1,756"
2011/10,Alberta,Family Composition,Couples with Children Total,860
2011/10,Alberta,Family Composition,All Types Total,"43,829"
2011/11,Alberta,Family Composition,Single Total,"39,052"
2011/11,Alberta,Family Composition,Single Parent Total,"2,279"
2011/11,Alberta,Family Composition,Childless Couples Total,"1,769"
2011/11,Alberta,Family Composition,Couples with Children Total,853
2011/11,Alberta,Family Composition,All Types Total,"43,953"
2011/12,Alberta,Family Composition,Single Total,"39,198"
2011/12,Alberta,Family Composition,Single Parent Total,"2,285"
2011/12,Alberta,Family Composition,Childless Couples Total,"1,755"
2011/12,Alberta,Family Composition,Couples with Children Total,849
2011/12,Alberta,Family Composition,All Types Total,"44,087"
2012/01,Alberta,Family Composition,Single Total,"39,357"
2012/01,Alberta,Family Composition,Single Parent Total,"2,319"
2012/01,Alberta,Family Composition,Childless Couples Total,"1,777"
2012/01,Alberta,Family Composition,Couples with Children Total,845
2012/01,Alberta,Family Composition,All Types Total,"44,298"
2012/02,Alberta,Family Composition,Single Total,"39,450"
2012/02,Alberta,Family Composition,Single Parent Total,"2,320"
2012/02,Alberta,Family Composition,Childless Couples Total,"1,769"
2012/02,Alberta,Family Composition,Couples with Children Total,854
2012/02,Alberta,Family Composition,All Types Total,"44,393"
2012/03,Alberta,Family Composition,Single Total,"39,767"
2012/03,Alberta,Family Composition,Single Parent Total,"2,395"
2012/03,Alberta,Family Composition,Childless Couples Total,"1,846"
2012/03,Alberta,Family Composition,Couples with Children Total,893
2012/03,Alberta,Family Composition,All Types Total,"44,901"
2012/04,Alberta,Family Composition,Single Total,"39,910"
2012/04,Alberta,Family Composition,Single Parent Total,"2,420"
2012/04,Alberta,Family Composition,Childless Couples Total,"1,891"
2012/04,Alberta,Family Composition,Couples with Children Total,896
2012/04,Alberta,Family Composition,All Types Total,"45,117"
2012/05,Alberta,Family Composition,Single Total,"40,044"
2012/05,Alberta,Family Composition,Single Parent Total,"2,440"
2012/05,Alberta,Family Composition,Childless Couples Total,"1,922"
2012/05,Alberta,Family Composition,Couples with Children Total,912
2012/05,Alberta,Family Composition,All Types Total,"45,318"
2012/06,Alberta,Family Composition,Single Total,"40,177"
2012/06,Alberta,Family Composition,Single Parent Total,"2,470"
2012/06,Alberta,Family Composition,Childless Couples Total,"1,923"
2012/06,Alberta,Family Composition,Couples with Children Total,915
2012/06,Alberta,Family Composition,All Types Total,"45,485"
2012/07,Alberta,Family Composition,Single Total,"40,300"
2012/07,Alberta,Family Composition,Single Parent Total,"2,460"
2012/07,Alberta,Family Composition,Childless Couples Total,"1,924"
2012/07,Alberta,Family Composition,Couples with Children Total,935
2012/07,Alberta,Family Composition,All Types Total,"45,619"
2012/08,Alberta,Family Composition,Single Total,"40,383"
2012/08,Alberta,Family Composition,Single Parent Total,"2,473"
2012/08,Alberta,Family Composition,Childless Couples Total,"1,954"
2012/08,Alberta,Family Composition,Couples with Children Total,934
2012/08,Alberta,Family Composition,All Types Total,"45,744"
2012/09,Alberta,Family Composition,Single Total,"40,435"
2012/09,Alberta,Family Composition,Single Parent Total,"2,458"
2012/09,Alberta,Family Composition,Childless Couples Total,"1,951"
2012/09,Alberta,Family Composition,Couples with Children Total,945
2012/09,Alberta,Family Composition,All Types Total,"45,789"
2012/10,Alberta,Family Composition,Single Total,"40,571"
2012/10,Alberta,Family Composition,Single Parent Total,"2,465"
2012/10,Alberta,Family Composition,Childless Couples Total,"1,985"
2012/10,Alberta,Family Composition,Couples with Children Total,965
2012/10,Alberta,Family Composition,All Types Total,"45,986"
2012/11,Alberta,Family Composition,Single Total,"40,708"
2012/11,Alberta,Family Composition,Single Parent Total,"2,475"
2012/11,Alberta,Family Composition,Childless Couples Total,"2,013"
2012/11,Alberta,Family Composition,Couples with Children Total,974
2012/11,Alberta,Family Composition,All Types Total,"46,170"
2012/12,Alberta,Family Composition,Single Total,"40,826"
2012/12,Alberta,Family Composition,Single Parent Total,"2,474"
2012/12,Alberta,Family Composition,Childless Couples Total,"2,044"
2012/12,Alberta,Family Composition,Couples with Children Total,986
2012/12,Alberta,Family Composition,All Types Total,"46,330"
2013/01,Alberta,Family Composition,Single Total,"41,061"
2013/01,Alberta,Family Composition,Single Parent Total,"2,498"
2013/01,Alberta,Family Composition,Childless Couples Total,"2,077"
2013/01,Alberta,Family Composition,Couples with Children Total,"1,017"
2013/01,Alberta,Family Composition,All Types Total,"46,653"
2013/02,Alberta,Family Composition,Single Total,"41,113"
2013/02,Alberta,Family Composition,Single Parent Total,"2,497"
2013/02,Alberta,Family Composition,Childless Couples Total,"2,083"
2013/02,Alberta,Family Composition,Couples with Children Total,"1,020"
2013/02,Alberta,Family Composition,All Types Total,"46,713"
2013/03,Alberta,Family Composition,Single Total,"41,191"
2013/03,Alberta,Family Composition,Single Parent Total,"2,500"
2013/03,Alberta,Family Composition,Childless Couples Total,"2,092"
2013/03,Alberta,Family Composition,Couples with Children Total,"1,022"
2013/03,Alberta,Family Composition,All Types Total,"46,805"
2013/04,Alberta,Family Composition,Single Total,"41,346"
2013/04,Alberta,Family Composition,Single Parent Total,"2,506"
2013/04,Alberta,Family Composition,Childless Couples Total,"2,119"
2013/04,Alberta,Family Composition,Couples with Children Total,"1,055"
2013/04,Alberta,Family Composition,All Types Total,"47,026"
2013/05,Alberta,Family Composition,Single Total,"41,491"
2013/05,Alberta,Family Composition,Single Parent Total,"2,518"
2013/05,Alberta,Family Composition,Childless Couples Total,"2,130"
2013/05,Alberta,Family Composition,Couples with Children Total,"1,056"
2013/05,Alberta,Family Composition,All Types Total,"47,195"
2013/06,Alberta,Family Composition,Single Total,"41,550"
2013/06,Alberta,Family Composition,Single Parent Total,"2,509"
2013/06,Alberta,Family Composition,Childless Couples Total,"2,136"
2013/06,Alberta,Family Composition,Couples with Children Total,"1,073"
2013/06,Alberta,Family Composition,All Types Total,"47,268"
2013/07,Alberta,Family Composition,Single Total,"41,703"
2013/07,Alberta,Family Composition,Single Parent Total,"2,514"
2013/07,Alberta,Family Composition,Childless Couples Total,"2,155"
2013/07,Alberta,Family Composition,Couples with Children Total,"1,079"
2013/07,Alberta,Family Composition,All Types Total,"47,451"
2013/08,Alberta,Family Composition,Single Total,"41,814"
2013/08,Alberta,Family Composition,Single Parent Total,"2,506"
2013/08,Alberta,Family Composition,Childless Couples Total,"2,158"
2013/08,Alberta,Family Composition,Couples with Children Total,"1,086"
2013/08,Alberta,Family Composition,All Types Total,"47,564"
2013/09,Alberta,Family Composition,Single Total,"41,980"
2013/09,Alberta,Family Composition,Single Parent Total,"2,534"
2013/09,Alberta,Family Composition,Childless Couples Total,"2,163"
2013/09,Alberta,Family Composition,Couples with Children Total,"1,091"
2013/09,Alberta,Family Composition,All Types Total,"47,768"
2013/10,Alberta,Family Composition,Single Total,"42,148"
2013/10,Alberta,Family Composition,Single Parent Total,"2,544"
2013/10,Alberta,Family Composition,Childless Couples Total,"2,206"
2013/10,Alberta,Family Composition,Couples with Children Total,"1,103"
2013/10,Alberta,Family Composition,All Types Total,"48,001"
2013/11,Alberta,Family Composition,Single Total,"42,292"
2013/11,Alberta,Family Composition,Single Parent Total,"2,544"
2013/11,Alberta,Family Composition,Childless Couples Total,"2,228"
2013/11,Alberta,Family Composition,Couples with Children Total,"1,119"
2013/11,Alberta,Family Composition,All Types Total,"48,183"
2013/12,Alberta,Family Composition,Single Total,"42,420"
2013/12,Alberta,Family Composition,Single Parent Total,"2,564"
2013/12,Alberta,Family Composition,Childless Couples Total,"2,204"
2013/12,Alberta,Family Composition,Couples with Children Total,"1,114"
2013/12,Alberta,Family Composition,All Types Total,"48,302"
2014/01,Alberta,Family Composition,Single Total,"42,650"
2014/01,Alberta,Family Composition,Single Parent Total,"2,589"
2014/01,Alberta,Family Composition,Childless Couples Total,"2,252"
2014/01,Alberta,Family Composition,Couples with Children Total,"1,125"
2014/01,Alberta,Family Composition,All Types Total,"48,616"
2014/02,Alberta,Family Composition,Single Total,"42,797"
2014/02,Alberta,Family Composition,Single Parent Total,"2,591"
2014/02,Alberta,Family Composition,Childless Couples Total,"2,263"
2014/02,Alberta,Family Composition,Couples with Children Total,"1,127"
2014/02,Alberta,Family Composition,All Types Total,"48,778"
2014/03,Alberta,Family Composition,Single Total,"43,058"
2014/03,Alberta,Family Composition,Single Parent Total,"2,592"
2014/03,Alberta,Family Composition,Childless Couples Total,"2,271"
2014/03,Alberta,Family Composition,Couples with Children Total,"1,139"
2014/03,Alberta,Family Composition,All Types Total,"49,060"
2014/04,Alberta,Family Composition,Single Total,"43,188"
2014/04,Alberta,Family Composition,Single Parent Total,"2,624"
2014/04,Alberta,Family Composition,Childless Couples Total,"2,286"
2014/04,Alberta,Family Composition,Couples with Children Total,"1,145"
2014/04,Alberta,Family Composition,All Types Total,"49,243"
2014/05,Alberta,Family Composition,Single Total,"43,363"
2014/05,Alberta,Family Composition,Single Parent Total,"2,653"
2014/05,Alberta,Family Composition,Childless Couples Total,"2,282"
2014/05,Alberta,Family Composition,Couples with Children Total,"1,147"
2014/05,Alberta,Family Composition,All Types Total,"49,445"
2014/06,Alberta,Family Composition,Single Total,"43,534"
2014/06,Alberta,Family Composition,Single Parent Total,"2,670"
2014/06,Alberta,Family Composition,Childless Couples Total,"2,284"
2014/06,Alberta,Family Composition,Couples with Children Total,"1,160"
2014/06,Alberta,Family Composition,All Types Total,"49,648"
2014/07,Alberta,Family Composition,Single Total,"43,711"
2014/07,Alberta,Family Composition,Single Parent Total,"2,674"
2014/07,Alberta,Family Composition,Childless Couples Total,"2,314"
2014/07,Alberta,Family Composition,Couples with Children Total,"1,154"
2014/07,Alberta,Family Composition,All Types Total,"49,853"
2014/08,Alberta,Family Composition,Single Total,"43,754"
2014/08,Alberta,Family Composition,Single Parent Total,"2,696"
2014/08,Alberta,Family Composition,Childless Couples Total,"2,303"
2014/08,Alberta,Family Composition,Couples with Children Total,"1,142"
2014/08,Alberta,Family Composition,All Types Total,"49,895"
2014/09,Alberta,Family Composition,Single Total,"43,932"
2014/09,Alberta,Family Composition,Single Parent Total,"2,714"
2014/09,Alberta,Family Composition,Childless Couples Total,"2,302"
2014/09,Alberta,Family Composition,Couples with Children Total,"1,155"
2014/09,Alberta,Family Composition,All Types Total,"50,103"
2014/10,Alberta,Family Composition,Single Total,"44,177"
2014/10,Alberta,Family Composition,Single Parent Total,"2,723"
2014/10,Alberta,Family Composition,Childless Couples Total,"2,321"
2014/10,Alberta,Family Composition,Couples with Children Total,"1,148"
2014/10,Alberta,Family Composition,All Types Total,"50,369"
2014/11,Alberta,Family Composition,Single Total,"44,322"
2014/11,Alberta,Family Composition,Single Parent Total,"2,736"
2014/11,Alberta,Family Composition,Childless Couples Total,"2,342"
2014/11,Alberta,Family Composition,Couples with Children Total,"1,151"
2014/11,Alberta,Family Composition,All Types Total,"50,551"
2014/12,Alberta,Family Composition,Single Total,"44,561"
2014/12,Alberta,Family Composition,Single Parent Total,"2,749"
2014/12,Alberta,Family Composition,Childless Couples Total,"2,356"
2014/12,Alberta,Family Composition,Couples with Children Total,"1,153"
2014/12,Alberta,Family Composition,All Types Total,"50,819"
2015/01,Alberta,Family Composition,Single Total,"44,754"
2015/01,Alberta,Family Composition,Single Parent Total,"2,781"
2015/01,Alberta,Family Composition,Childless Couples Total,"2,389"
2015/01,Alberta,Family Composition,Couples with Children Total,"1,181"
2015/01,Alberta,Family Composition,All Types Total,"51,105"
2015/02,Alberta,Family Composition,Single Total,"44,810"
2015/02,Alberta,Family Composition,Single Parent Total,"2,809"
2015/02,Alberta,Family Composition,Childless Couples Total,"2,399"
2015/02,Alberta,Family Composition,Couples with Children Total,"1,178"
2015/02,Alberta,Family Composition,All Types Total,"51,196"
2015/03,Alberta,Family Composition,Single Total,"45,058"
2015/03,Alberta,Family Composition,Single Parent Total,"2,803"
2015/03,Alberta,Family Composition,Childless Couples Total,"2,424"
2015/03,Alberta,Family Composition,Couples with Children Total,"1,207"
2015/03,Alberta,Family Composition,All Types Total,"51,492"
2015/04,Alberta,Family Composition,Single Total,"45,166"
2015/04,Alberta,Family Composition,Single Parent Total,"2,810"
2015/04,Alberta,Family Composition,Childless Couples Total,"2,435"
2015/04,Alberta,Family Composition,Couples with Children Total,"1,212"
2015/04,Alberta,Family Composition,All Types Total,"51,623"
2015/05,Alberta,Family Composition,Single Total,"45,289"
2015/05,Alberta,Family Composition,Single Parent Total,"2,824"
2015/05,Alberta,Family Composition,Childless Couples Total,"2,429"
2015/05,Alberta,Family Composition,Couples with Children Total,"1,224"
2015/05,Alberta,Family Composition,All Types Total,"51,766"
2015/06,Alberta,Family Composition,Single Total,"45,475"
2015/06,Alberta,Family Composition,Single Parent Total,"2,834"
2015/06,Alberta,Family Composition,Childless Couples Total,"2,433"
2015/06,Alberta,Family Composition,Couples with Children Total,"1,246"
2015/06,Alberta,Family Composition,All Types Total,"51,988"
2015/07,Alberta,Family Composition,Single Total,"45,560"
2015/07,Alberta,Family Composition,Single Parent Total,"2,828"
2015/07,Alberta,Family Composition,Childless Couples Total,"2,454"
2015/07,Alberta,Family Composition,Couples with Children Total,"1,242"
2015/07,Alberta,Family Composition,All Types Total,"52,084"
2015/08,Alberta,Family Composition,Single Total,"45,623"
2015/08,Alberta,Family Composition,Single Parent Total,"2,829"
2015/08,Alberta,Family Composition,Childless Couples Total,"2,432"
2015/08,Alberta,Family Composition,Couples with Children Total,"1,248"
2015/08,Alberta,Family Composition,All Types Total,"52,132"
2015/09,Alberta,Family Composition,Single Total,"45,736"
2015/09,Alberta,Family Composition,Single Parent Total,"2,859"
2015/09,Alberta,Family Composition,Childless Couples Total,"2,431"
2015/09,Alberta,Family Composition,Couples with Children Total,"1,229"
2015/09,Alberta,Family Composition,All Types Total,"52,255"
2015/10,Alberta,Family Composition,Single Total,"45,910"
2015/10,Alberta,Family Composition,Single Parent Total,"2,895"
2015/10,Alberta,Family Composition,Childless Couples Total,"2,467"
2015/10,Alberta,Family Composition,Couples with Children Total,"1,239"
2015/10,Alberta,Family Composition,All Types Total,"52,511"
2015/11,Alberta,Family Composition,Single Total,"46,002"
2015/11,Alberta,Family Composition,Single Parent Total,"2,909"
2015/11,Alberta,Family Composition,Childless Couples Total,"2,454"
2015/11,Alberta,Family Composition,Couples with Children Total,"1,253"
2015/11,Alberta,Family Composition,All Types Total,"52,618"
2015/12,Alberta,Family Composition,Single Total,"46,129"
2015/12,Alberta,Family Composition,Single Parent Total,"2,921"
2015/12,Alberta,Family Composition,Childless Couples Total,"2,440"
2015/12,Alberta,Family Composition,Couples with Children Total,"1,245"
2015/12,Alberta,Family Composition,All Types Total,"52,735"
2016/01,Alberta,Family Composition,Single Total,"46,427"
2016/01,Alberta,Family Composition,Single Parent Total,"2,944"
2016/01,Alberta,Family Composition,Childless Couples Total,"2,482"
2016/01,Alberta,Family Composition,Couples with Children Total,"1,257"
2016/01,Alberta,Family Composition,All Types Total,"53,110"
2016/02,Alberta,Family Composition,Single Total,"46,563"
2016/02,Alberta,Family Composition,Single Parent Total,"2,961"
2016/02,Alberta,Family Composition,Childless Couples Total,"2,516"
2016/02,Alberta,Family Composition,Couples with Children Total,"1,269"
2016/02,Alberta,Family Composition,All Types Total,"53,309"
2016/03,Alberta,Family Composition,Single Total,"46,756"
2016/03,Alberta,Family Composition,Single Parent Total,"2,983"
2016/03,Alberta,Family Composition,Childless Couples Total,"2,552"
2016/03,Alberta,Family Composition,Couples with Children Total,"1,299"
2016/03,Alberta,Family Composition,All Types Total,"53,590"
2016/04,Alberta,Family Composition,Single Total,"46,959"
2016/04,Alberta,Family Composition,Single Parent Total,"2,985"
